# Lista completa de marcas de cosmeticos capilares
# Formato: Marca	Marketplace	URL

Dacca Professional	Beleza na Web	https://daccaprofessional.com.br/
Dalsan Cosmeticos	Beleza na Web	https://dalsan.com.br/
Dama Hair	Beleza na Web	https://damahair.com.br/
De Benguela	Beleza na Web	https://debenguela.com.br/
De Sirius	Mercado Livre	https://desirius.com.br/
Dermare	Beleza na Web	https://dermare.com.br/
Descomplica Curvas	Beleza na Web	https://descomplicacurvas.com.br/
Detagold	Mercado Livre	https://detagold.com.br/
Detra Hair Cosmetics	Beleza na Web	https://detra.com.br/
Dhonna	Beleza na Web	https://dhonnacosmeticos.com.br/
Diamante Profissional	Mercado Livre	https://diamanteprofissional.com.br/
Dicolore	Mercado Livre	https://dicolore.com.br/
Diliza Professional	Beleza na Web	https://diliza.com.br/
Dimension	Mercado Livre	https://www.dimensioncosmeticos.com.br/
Divine Meches	Beleza na Web	https://divinemeches.com.br/
Divcom	Mercado Livre	https://www.divcom.com.br/
DO.HA	Beleza na Web	https://doha.com.br/
Dom Pelo	Mercado Livre	https://dompelo.com.br/
Don Alcides	Beleza na Web	https://donalcides.com.br/
Doona	Beleza na Web	https://doona.com.br/
Doono	Beleza na Web	https://doono.com.br/
Dr Jack	Beleza na Web	https://drjack.com.br/
Dr. Seed	Beleza na Web	https://drseed.com.br/
Duetto Professional	Mercado Livre	https://duettocosmeticos.com.br/
Dyusar	Mercado Livre	https://dyusar.com.br/
Eae Cosmeticos	Mercado Livre	https://eaecompras.com.br/
Ecosix Professional	Beleza na Web	https://ecosix.com.br/
Ecosmetics	Beleza na Web	https://ecosmetics.com.br/
Eico	Beleza na Web	https://eico.com.br/
EIZZ	Beleza na Web	https://eizz.com.br/
Ekilibre Amazonia	Beleza na Web	https://ekilibre.com.br/
Ekobe	Beleza na Web	https://ekobe.com.br/
Elfa 4men	Mercado Livre	https://elfacosmeticos.com.br/
Eliana Mendes	Beleza na Web	https://elianamendescosmeticos.com.br/
Elisafer	Beleza na Web	https://www.elisafer.com.br/
Emah Hair Care	Beleza na Web	https://emahhaircare.com.br/
Embaixador	Mercado Livre	https://embaixadorcosmeticos.com.br/
Enzz Cosmetics	Beleza na Web	https://enzzcosmetics.com.br/
Eri Haircare	Beleza na Web	https://erihaircare.com.br/
Erven Cosmetics	Beleza na Web	https://ervencosmetics.com.br/
Ervik	Beleza na Web	https://ervikcosmeticos.com.br/
Escovas Evas	Beleza na Web	https://evas.com.br/
Essencialmente Bela	Beleza na Web	https://essencialmentebela.com.br/
Essencials Profissional	Beleza na Web	https://essencialscosmeticos.com.br/
Essendy	Beleza na Web	https://essendy.com.br/
Estoril Cosmeticos	Mercado Livre	https://estorilcosmeticos.com.br/
Everlong	Beleza na Web	https://everlong.com.br/
Exo Hair	Beleza na Web	https://exohair.com.br/
Expresso Mata Atlantica	Mercado Livre	https://expressomataatlantica.com.br/
F-Men Cosmetics	Beleza na Web	https://f-men.com.br/
Fabulosa Lizz	Beleza na Web	https://fabulosalizz.com.br/
Facinatus Cosmeticos	Mercado Livre	https://facinatus.com.br/
Farmaervas	Beleza na Web	https://farmaervas.com.br/
Fashion Gold	Beleza na Web	https://fashiongold.com.br/
Fast Escova	Beleza na Web	https://fastescova.com.br/
Fattore	Mercado Livre	https://fattorecosmeticos.com.br/
Feito pra Voce	Beleza na Web	https://feitopravoce.com.br/
Felithi Pro	Beleza na Web	https://felithi.com.br/
Felps Professional	Beleza na Web	https://felps.com.br/
FGZ Professional	Beleza na Web	https://fgzprofessional.com.br/
Fit Cosmetics	Beleza na Web	https://fitcosmetics.com.br/
Flama	Beleza na Web	https://flamacosmeticos.com.br/
Flora Pura	Mercado Livre	https://florapura.com.br/
Folha Nativa Cosmeticos	Beleza na Web	https://folhanativa.com.br/
For Beauty	Beleza na Web	https://forbeautyprofessional.com.br/
Force de Frizz	Beleza na Web	https://forcedefrizz.com.br/
Forever Liss Professional	Beleza na Web	https://foreverliss.com.br/
Formalisa	Beleza na Web	https://formalisa.com.br/
Fox For Men	Mercado Livre	https://foxformen.com.br/
Fox Professional	Beleza na Web	https://foxprofessional.com.br/
Fusion	Mercado Livre	https://fusioncosmetics.com.br/
G.Hair	Beleza na Web	https://ghair.com.br/
